MSSV,HoVaTen,NgaySinh,Email,SDT,MaLop
SV00000,Duong Kim Binh,20/02/2002,duongkimbinh.sv00000@school.edu.vn,0315195829,L001
SV00001,Mai Van Trang,15/10/2002,maivantrang.sv00001@school.edu.vn,0491172258,L001
SV00002,Do Thanh Tuan,01/10/2005,dothanhtuan.sv00002@school.edu.vn,0768512206,L001
SV00003,Nguyen Kim Mai,08/04/2004,nguyenkimmai.sv00003@school.edu.vn,0495610597,L001
SV00004,Le Duc Cuong,27/06/2005,leduccuong.sv00004@school.edu.vn,0962692915,L001
SV00005,Duong Minh Giang,15/02/2004,duongminhgiang.sv00005@school.edu.vn,0697703575,L001
SV00006,Phan Thanh Hoa,27/05/2003,phanthanhhoa.sv00006@school.edu.vn,0764429218,L001
SV00007,Nguyen Gia Tuan,09/12/2004,nguyengiatuan.sv00007@school.edu.vn,0397040851,L001
SV00008,Do Thi Trang,12/10/2002,dothitrang.sv00008@school.edu.vn,0887414816,L001
SV00009,Nguyen Thanh Khanh,07/03/2002,nguyenthanhkhanh.sv00009@school.edu.vn,0494894044,L001
SV00010,Dang Ngoc An,23/03/2003,dangngocan.sv00010@school.edu.vn,0455414014,L001
SV00011,Luu Quang Uyen,28/04/2004,luuquanguyen.sv00011@school.edu.vn,0738892034,L001
SV00012,Truong Duc Trang,12/05/2005,truongductrang.sv00012@school.edu.vn,0613228411,L001
SV00013,Vu Duc Phuc,13/06/2003,vuducphuc.sv00013@school.edu.vn,0484693424,L001
SV00014,Duong Minh Hung,15/06/2002,duongminhhung.sv00014@school.edu.vn,0376260274,L001
SV00015,Ngo Quang Cuong,10/12/2002,ngoquangcuong.sv00015@school.edu.vn,0696370884,L001
SV00016,Le Quang Son,07/03/2002,lequangson.sv00016@school.edu.vn,0317697760,L001
SV00017,Hoang Van Em,02/10/2005,hoangvanem.sv00017@school.edu.vn,0933660318,L001
SV00018,Luu Thanh An,09/05/2002,luuthanhan.sv00018@school.edu.vn,0781086110,L001
SV00019,Mai Duc Mai,07/09/2002,maiducmai.sv00019@school.edu.vn,0748746711,L001
SV00020,Nguyen Ngoc Dung,05/09/2003,nguyenngocdung.sv00020@school.edu.vn,0465440162,L001
SV00021,Phan Minh Vinh,27/08/2003,phanminhvinh.sv00021@school.edu.vn,0999760502,L001
SV00022,Dinh Thi Dung,05/04/2003,dinhthidung.sv00022@school.edu.vn,0653321966,L001
SV00023,Mai Quang Phuc,11/08/2004,maiquangphuc.sv00023@school.edu.vn,0541914947,L001
SV00024,Le Gia Thy,10/06/2003,legiathy.sv00024@school.edu.vn,0746525584,L001
SV00025,Nguyen Thanh Nam,19/05/2004,nguyenthanhnam.sv00025@school.edu.vn,0552203554,L001
SV00026,Hoang Gia Dung,09/02/2003,hoanggiadung.sv00026@school.edu.vn,0927921744,L001
SV00027,Luu Ngoc Bao,27/06/2003,luungocbao.sv00027@school.edu.vn,0971405409,L001
SV00028,Bui Thi Ha,09/09/2002,buithiha.sv00028@school.edu.vn,0697377151,L001
SV00029,Vo Duc Cuong,17/08/2004,voduccuong.sv00029@school.edu.vn,0473970862,L001
SV00030,Vo Gia Ha,03/03/2005,vogiaha.sv00030@school.edu.vn,0487204501,L001
SV00031,Bui Kim Phuong,09/11/2004,buikimphuong.sv00031@school.edu.vn,0793413075,L001
SV00032,Pham Thi An,26/03/2005,phamthian.sv00032@school.edu.vn,0977380226,L001
SV00033,Bui Minh Vinh,05/02/2004,buiminhvinh.sv00033@school.edu.vn,0798260241,L001
SV00034,Dang Thi Mai,08/12/2005,dangthimai.sv00034@school.edu.vn,0985990702,L001
SV00035,Duong Thi Phuc,02/04/2002,duongthiphuc.sv00035@school.edu.vn,0470607142,L001
SV00036,Ho Kim Nhu,12/06/2003,hokimnhu.sv00036@school.edu.vn,0375992979,L001
SV00037,Luu Thi Binh,25/07/2002,luuthibinh.sv00037@school.edu.vn,0344228998,L001
SV00038,Ly Quang Mai,19/11/2003,lyquangmai.sv00038@school.edu.vn,0659502802,L001
SV00039,Ly Quang Bao,14/07/2004,lyquangbao.sv00039@school.edu.vn,0319929243,L001
SV00040,Ly Minh Long,12/11/2005,lyminhlong.sv00040@school.edu.vn,0824457261,L001
SV00041,Vu Quang Khanh,03/03/2005,vuquangkhanh.sv00041@school.edu.vn,0475699023,L001
SV00042,Phan Ngoc Oanh,24/04/2005,phanngocoanh.sv00042@school.edu.vn,0842157759,L001
SV00043,Truong Ngoc Ha,05/07/2005,truongngocha.sv00043@school.edu.vn,0594009971,L001
SV00044,Nguyen Gia Son,02/11/2004,nguyengiason.sv00044@school.edu.vn,0914762810,L001
SV00045,Vo Thi Cuong,27/06/2005,vothicuong.sv00045@school.edu.vn,0441876443,L001
SV00046,Dinh Gia Phuc,06/04/2004,dinhgiaphuc.sv00046@school.edu.vn,0741746037,L001
SV00047,Vo Quang Oanh,15/12/2005,voquangoanh.sv00047@school.edu.vn,0757697218,L001
SV00048,Vo Duc Giang,01/06/2005,voducgiang.sv00048@school.edu.vn,0324685534,L001
SV00049,Hoang Huu Yen,27/11/2004,hoanghuuyen.sv00049@school.edu.vn,0763277777,L001
SV00050,Bui Huu Trang,06/07/2002,buihuutrang.sv00050@school.edu.vn,0497070240,L002
SV00051,Truong Kim Yen,28/08/2005,truongkimyen.sv00051@school.edu.vn,0356271101,L002
SV00052,Duong Gia Uyen,21/02/2003,duonggiauyen.sv00052@school.edu.vn,0816998851,L002
SV00053,Pham Thi Em,12/01/2002,phamthiem.sv00053@school.edu.vn,0368347671,L002
SV00054,Tran Thanh Vinh,22/08/2004,tranthanhvinh.sv00054@school.edu.vn,0566586594,L002
SV00055,Vo Ngoc Vinh,19/08/2002,vongocvinh.sv00055@school.edu.vn,0784488142,L002
SV00056,Dinh Quang Son,26/09/2003,dinhquangson.sv00056@school.edu.vn,0579336620,L002
SV00057,Luu Quang Mai,08/09/2005,luuquangmai.sv00057@school.edu.vn,0752169599,L002
SV00058,Mai Minh Linh,23/10/2005,maiminhlinh.sv00058@school.edu.vn,0961469000,L002
SV00059,Do Minh Hoa,20/11/2005,dominhhoa.sv00059@school.edu.vn,0544652416,L002
SV00060,Phan Kim Xuan,14/09/2004,phankimxuan.sv00060@school.edu.vn,0366598983,L002
